Rotary encoder POSITION DATA
Neuropixel setup
Samping rate: 50 sps
20-23-22_01-13-2023
timestamp_sys,timestamp,position,interrupt,position_at_interrupt
2023-01-13_20:23:30.766574, 8220, 308683, 0, 209376
2023-01-13_20:23:30.787482, 8240, 308846, 0, 209376
2023-01-13_20:23:30.807394, 8260, 308961, 0, 209376
2023-01-13_20:23:30.827170, 8280, 309107, 0, 209376
2023-01-13_20:23:30.847082, 8300, 309626, 0, 209376
2023-01-13_20:23:30.867420, 8320, 310184, 0, 209376
2023-01-13_20:23:30.887333, 8340, 310798, 0, 209376
2023-01-13_20:23:30.907245, 8360, 311052, 0, 209376
2023-01-13_20:23:30.927157, 8380, 311059, 0, 209376
2023-01-13_20:23:30.947041, 8400, 310968, 0, 209376
2023-01-13_20:23:30.966953, 8420, 310885, 0, 209376
2023-01-13_20:23:30.986866, 8440, 310816, 0, 209376
2023-01-13_20:23:31.007249, 8460, 310755, 0, 209376
2023-01-13_20:23:31.027372, 8480, 310704, 0, 209376
2023-01-13_20:23:31.047338, 8500, 310666, 0, 209376
2023-01-13_20:23:31.066953, 8520, 310807, 0, 209376
2023-01-13_20:23:31.087862, 8540, 311000, 0, 209376
2023-01-13_20:23:31.106778, 8560, 311242, 0, 209376
2023-01-13_20:23:31.126692, 8580, 311540, 0, 209376
2023-01-13_20:23:31.146603, 8600, 311777, 0, 209376
2023-01-13_20:23:31.166693, 8620, 311965, 0, 209376
2023-01-13_20:23:31.187643, 8640, 312114, 0, 209376
2023-01-13_20:23:31.207045, 8660, 312226, 0, 209376
2023-01-13_20:23:31.226960, 8680, 312304, 0, 209376
2023-01-13_20:23:31.246855, 8700, 312351, 0, 209376
2023-01-13_20:23:31.266770, 8720, 312371, 0, 209376
2023-01-13_20:23:31.286680, 8740, 312375, 0, 209376
2023-01-13_20:23:31.307108, 8760, 312486, 0, 209376
2023-01-13_20:23:31.327236, 8780, 312818, 0, 209376
2023-01-13_20:23:31.346623, 8800, 313215, 0, 209376
2023-01-13_20:23:31.366535, 8820, 313787, 0, 209376
